"Date","AccountNumber","Amount","InBound"
2022-03-01,5678,484.931971125764,FALSE
2022-03-02,5678,421.654626003324,FALSE
2022-03-03,5678,549.958972405965,FALSE
2022-03-04,5678,528.845589488907,FALSE
2022-03-05,5678,498.291223377127,FALSE
2022-03-06,5678,536.862553222855,FALSE
2022-03-07,5678,562.742363864247,FALSE
2022-03-08,5678,509.538569305938,FALSE
2022-03-09,5678,425.271671954899,FALSE
2022-03-10,5678,516.563095117791,FALSE
2022-03-11,5678,523.590788449911,FALSE
2022-03-12,5678,527.684370418688,FALSE
2022-03-13,5678,425.695783779637,FALSE
2022-03-14,5678,506.746740353233,FALSE
2022-03-15,5678,496.272224814536,FALSE
2022-03-16,5678,540.982505447906,FALSE
2022-03-17,5678,515.239145705578,FALSE
2022-03-18,5678,436.935402961372,FALSE
2022-03-19,5678,627.332788584402,FALSE
2022-03-20,5678,511.571511411915,FALSE
2022-03-21,5678,477.604580426648,FALSE
2022-03-22,5678,499.336450813088,FALSE
2022-03-23,5678,510.687798323286,FALSE
2022-03-24,5678,462.458018932292,FALSE
2022-03-25,5678,476.519067357905,FALSE
2022-03-26,5678,543.18430579204,FALSE
2022-03-27,5678,483.028156202075,FALSE
2022-03-28,5678,431.48097390815,FALSE
2022-03-29,5678,417.579664119881,FALSE
2022-03-30,5678,469.957383388173,FALSE
2022-03-31,5678,447.847471397721,FALSE
2022-04-01,5678,485.198271266137,FALSE
2022-04-02,5678,546.162350037264,FALSE
2022-04-03,5678,408.294267232375,FALSE
2022-04-04,5678,543.794257966239,FALSE
2022-04-05,5678,542.855709766854,FALSE
2022-04-06,5678,508.845245007784,FALSE
2022-04-07,5678,543.385898532578,FALSE
2022-04-08,5678,583.157104221754,FALSE
2022-04-09,5678,430.359179833919,FALSE
2022-04-10,5678,438.424209682105,FALSE
2022-04-11,5678,538.510529726873,FALSE
2022-04-12,5678,543.808247700244,FALSE
2022-04-13,5678,442.829125716779,FALSE
2022-04-14,5678,581.831186202159,FALSE
2022-04-15,5678,415.108651195798,FALSE
2022-04-16,5678,501.207863893499,FALSE
2022-04-17,5678,589.225851735439,FALSE
2022-04-18,5678,492.189339768536,FALSE
2022-04-19,5678,438.880965531285,FALSE
2022-04-20,5678,594.698263904308,FALSE
2022-04-21,5678,525.558295548687,FALSE
2022-04-22,5678,532.20014541717,FALSE
2022-04-23,5678,575.252209209167,FALSE
2022-04-24,5678,476.793193673359,FALSE
2022-04-25,5678,487.139388353797,FALSE
2022-04-26,5678,490.581644071779,FALSE
2022-04-27,5678,502.654763170752,FALSE
2022-04-28,5678,451.445002539439,FALSE
2022-04-29,5678,436.048604283569,FALSE
2022-04-30,5678,572.582647364624,FALSE
